term_id,term_english,current_parent_contract,proposed_contract,proposed_qword,qualifier,confidence,note,decision,final_contract,final_qword,review_note
T023,deferment riba,principle,,Q01,principle,AI_LINKED,AI: riba al-nasi'ah; riba family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q01,
T024,forward sale,C05,C05,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C05,,
T025,manufacturing sale,C06,C06,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C06,,
T026,cost-plus sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T027,fee/wage,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T028,security deposit,composite,,Q17,composite,AI_LINKED,AI: deposit held in trust; wadi'ah family,APPROVED (named YES by detailed review),,Q17,
T029,unilateral promise,principle,C03,,principle,AI_LINKED,AI: wa'd used in murabaha-to-purchase-orderer; scholar to verify,APPROVED (named YES by detailed review),C03,,
T030,bilateral promise,principle,C03,,principle,AI_LINKED,AI: muwa'adah used in sale/hedge structures; scholar to verify,APPROVED (named YES by detailed review),C03,,
T031,hedging,composite,C03,,composite,AI_LINKED,AI: Islamic hedges commonly built from tawarruq/murabaha legs; scholar to verify,RECLASSIFIED by detailed review,,Q20,via T070 urf
T032,commodity cost-plus,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T033,back-to-back salam,C05,C05,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C05,,
T034,back-to-back istisna,C06,C06,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C06,,
T035,reducing partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T036,bargained sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T037,at-cost sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T038,safe-custody (trust),principle,,Q17,principle,AI_LINKED,AI: wadi'ah; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q17,
T039,guaranteed safekeeping,composite,,Q17,composite,AI_LINKED,AI: wadi'ah yad damanah; guarantee side (C08) alt,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q17,
T040,manager (mudarabah),C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T041,capital provider,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T042,guarantor,C08,C08,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C08,,
T043,creditor/beneficiary,C08,C08,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C08,,
T044,hired party/lessor,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T045,lessee/hirer,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T046,trust,principle,,Q17,principle,AI_LINKED,AI: amanah; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q17,
T047,debt,principle,,Q15,principle,AI_LINKED,AI: dayn; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q15,
T048,benevolent loan,C10,C10,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C10,,
T049,partnership (generic),C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T050,unlimited partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T051,limited partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T052,labor partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T053,creditworthiness partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T054,partner,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T055,agent,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T056,principal,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T057,juristic preference,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q20,
T058,public interest,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q20,
T059,objectives of Sharia,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q21,
T060,legal stratagem,principle,,Q14,principle,AI_LINKED,AI: hiyal = usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T061,sale with redemption,C03/C09,C09,,,AI_LINKED,AI: bay' al-wafa works as security for a debt; pledge family; sale-form (C03) alt; scholar to verify,APPROVED (verifier-1 blanket YES; not named in detailed review),C09,,
T062,sharecropping,composite,C01,,composite,AI_LINKED,AI: muzara'ah = crop partnership; shirkah family,RECLASSIFIED by detailed review,,Q21,
T063,irrigation partnership,composite,C01,,composite,AI_LINKED,AI: musaqah = orchard partnership; shirkah family,RECLASSIFIED by detailed review,,Q21,
T064,tree-planting partnership,composite,C01,,composite,AI_LINKED,AI: mugharasah = planting partnership; shirkah family,RECLASSIFIED by detailed review,,Q21,
T065,consensus,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q13,
T066,analogy,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q16,
T067,independent reasoning,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q16,
T068,legal opinion,principle,,Q14,principle,AI_LINKED,AI: fatwa = usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q13+Q16,
T069,commercial custom,principle,,Q14,principle,AI_LINKED,AI: urf governs trade dealings; scholar to verify,RECLASSIFIED by detailed review,,Q20,
T070,custom,principle,,Q14,principle,AI_LINKED,AI: urf/adah governs dealings; scholar to verify,RECLASSIFIED by detailed review,,Q20,
T071,sale of nonexistent,principle,C03,,principle,AI_LINKED,AI: sale-validity rule; salam/istisna are the licensed exceptions,RESOLVED by Adam (2026-07-25),,Q23,Adam: Q23 gharar
T072,uncertain sale,principle,C03,,principle,AI_LINKED,AI: sale-validity rule; gharar (Q23) alt,APPROVED (verifier-1 blanket YES; not named in detailed review),C03,,
T073,sale of undeliverable,principle,C03,,principle,AI_LINKED,AI: sale-validity rule,RESOLVED by Adam (2026-07-25),,Q06,Adam: Q06 akl al-mal bil-batil
T074,compensation,composite,,Q15,composite,AI_LINKED,AI: ta'widh mostly on late debt payment; scholar to verify,APPROVED (named YES by detailed review),,Q15,
T075,penalty,composite,C06,,composite,AI_LINKED,AI: penalty clause recognised in istisna; scholar to verify,RECLASSIFIED by detailed review,C08,,
T076,rebate,principle,,Q15,principle,AI_LINKED,AI: ibra' = waiving part of a debt,APPROVED (named YES by detailed review),,Q15,
T077,set-off,principle,,Q15,principle,AI_LINKED,AI: muqassah nets off debts,APPROVED (named YES by detailed review),,Q15,
T078,amicable settlement,principle,,Q15,principle,AI_LINKED,AI: sulh most often settles debts; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T079,donation,principle,,Q09,principle,AI_LINKED,AI: tabarru' = giving; sadaqah family,APPROVED (named YES by detailed review),,Q09,
T080,mutual cooperation,principle,,Q09,principle,AI_LINKED,AI: ta'awun underpins takaful giving,APPROVED (named YES by detailed review),,Q09,
T081,tribal mutual aid,principle,,Q09,principle,AI_LINKED,AI: aqilah = mutual-aid precedent for takaful,APPROVED (named YES by detailed review),,Q09,
T082,pre-Islamic riba,principle,,Q01,principle,AI_LINKED,AI: riba al-jahiliyyah; riba family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q01,
T083,usurious commodities,principle,,Q01,principle,AI_LINKED,AI: ribawi items; riba family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q01,
T084,profit,principle,C03,,principle,AI_LINKED,AI: ribh shares root r-b-h with murabaha (sale at stated profit),APPROVED (named YES by detailed review),C03,,
T085,capital,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T086,certificate,principle,,Q15,principle,AI_LINKED,AI: sakk = written instrument; kitabah (documentation) family; scholar to verify,APPROVED (named YES by detailed review),,Q15,
T087,usufruct,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T088,supply/recurring sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T089,deferred sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T090,indeterminacy,principle,,Q23,principle,AI_LINKED,AI: jahalah = gharar family,APPROVED (named YES by detailed review),,Q23,
T091,gambling/wager,principle,,Q02,principle,AI_LINKED,AI: maysir family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q02,
T092,fungible goods,principle,,Q14,principle,AI_LINKED,AI: mithli = sale-object class,APPROVED (named YES by detailed review),,Q14,
T093,non-fungible goods,principle,,Q14,principle,AI_LINKED,AI: qimi = sale-object class,APPROVED (named YES by detailed review),,Q14,
T094,offer,principle,,Q14,principle,AI_LINKED,AI: ijab = contract formation in dealings,APPROVED (named YES by detailed review),,Q14,
T095,acceptance,principle,,Q14,principle,AI_LINKED,AI: qabul = contract formation in dealings,APPROVED (named YES by detailed review),,Q14,
T096,option of session,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T097,option of condition,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T098,option of defect,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T099,option of inspection,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T100,sharecropping (tenant-seed),composite,C01,,composite,AI_LINKED,AI: mukhabarah = crop partnership variant,RECLASSIFIED by detailed review,,Q21,
T101,wealth,principle,,Q14,principle,AI_LINKED,AI: mal = object of all dealings; scholar to verify,RECLASSIFIED by detailed review,,Q06,
T102,ownership,principle,,Q14,principle,AI_LINKED,AI: milk transfer is the aim of sale; scholar to verify,RECLASSIFIED by detailed review,,Q06,
T103,possession/constructive receipt,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T104,legal liability,principle,,Q15,principle,AI_LINKED,AI: dhimmah is where debt attaches,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q15,
T105,liability/guarantee,C08,C08,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C08,,
T106,entitlement-with-liability maxim,principle,C08,,principle,AI_LINKED,AI: al-kharaj bi-l-daman; daman = guarantee root,RESOLVED by Adam (2026-07-25),C08,,Adam: keep C08 Kafala
T107,gain-accompanies-risk maxim,principle,,Q21,principle,AI_LINKED,AI: al-ghunm bi-l-ghurm underpins partnership risk-sharing,APPROVED (named YES by detailed review),,Q21,
T108,blocking the means,principle,,Q14,principle,AI_LINKED,AI: usul method term; parked under trade-dealings umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T109,benefit,principle,C04,,principle,AI_LINKED,AI: manfa'ah is the subject of ijarah; matches T087 usufruct,RESOLVED by Adam (2026-07-26),,Q14,Adam: Q14 bay'/tijarah
T110,harm,principle,,Q14,principle,AI_LINKED,AI: la-darar maxim governs dealings; scholar to verify,RECLASSIFIED by detailed review,,Q19,
T111,necessity,principle,,Q14,principle,AI_LINKED,AI: darurah = usul method term; scholar to verify,RECLASSIFIED by detailed review,,Q19,
T112,widespread affliction,principle,,Q14,principle,AI_LINKED,AI: umum al-balwa = usul method term; scholar to verify,RECLASSIFIED by detailed review,,Q19,
T113,combining madhhab opinions,principle,,Q14,principle,AI_LINKED,AI: talfiq = usul method term; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T114,selection of opinion,principle,,Q14,principle,AI_LINKED,AI: takhayyur = usul method term; scholar to verify,RECLASSIFIED by detailed review,,Q16,
T115,transactional jurisprudence,principle,,Q14,principle,AI_LINKED,AI: fiqh al-mu'amalat = trade-dealings umbrella itself,RECLASSIFIED by detailed review,,Q06,
T116,alms-tax,principle,,Q08,principle,AI_LINKED,AI: zakat; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q08,
T117,tithe,principle,,Q08,principle,AI_LINKED,AI: ushr = agricultural zakat,APPROVED (named YES by detailed review),,Q08,
T118,voluntary charity,principle,,Q09,principle,AI_LINKED,AI: sadaqah; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q09,
T119,zakat threshold,principle,,Q08,principle,AI_LINKED,AI: nisab; zakat family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q08,
T120,zakat lunar year,principle,,Q08,principle,AI_LINKED,AI: hawl; zakat family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q08,
T121,success/welfare,principle,,Q09,principle,AI_LINKED,AI: falah tied to giving in the Qur'an; scholar to verify,APPROVED (named YES by detailed review),,Q09,
T122,justice,principle,,Q05,principle,AI_LINKED,AI: Qur'anic market justice = full weights and measures; scholar to verify,APPROVED (named YES by detailed review),,Q05,
T123,excellence/benevolence,principle,,Q09,principle,AI_LINKED,AI: ihsan in giving; scholar to verify,APPROVED (named YES by detailed review),,Q09,
T124,fiduciary trust,principle,,Q17,principle,AI_LINKED,AI: yad amanah; trust family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q17,
T125,permissible,principle,,Q14,principle,AI_LINKED,AI: ruling grade applied to dealings; scholar to verify,RECLASSIFIED by detailed review,,Q06,
T126,prohibited,principle,,Q14,principle,AI_LINKED,AI: ruling grade applied to dealings; scholar to verify,RECLASSIFIED by detailed review,,Q06,
T127,disliked,principle,,Q14,principle,AI_LINKED,AI: ruling grade applied to dealings; scholar to verify,RECLASSIFIED by detailed review,,Q22,
T128,neutral,principle,,Q14,principle,AI_LINKED,AI: ruling grade applied to dealings; scholar to verify,RECLASSIFIED by detailed review,,Q22,
T129,doubtful,principle,,Q14,principle,AI_LINKED,AI: ruling grade applied to dealings; scholar to verify,RECLASSIFIED by detailed review,,Q23,
T130,defective contract,principle,,Q14,principle,AI_LINKED,AI: contract validity grade; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T131,void contract,principle,,Q14,principle,AI_LINKED,AI: contract validity grade; scholar to verify,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q14,
T132,valid contract,principle,,Q14,principle,AI_LINKED,AI: contract validity grade; scholar to verify,RECLASSIFIED by detailed review,,Q18,
T133,salam certificates,C05,C05,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C05,,
T134,istisna certificates,C06,C06,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C06,,
T135,murabaha certificates,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T136,investment certificates,composite,C02,,composite,AI_LINKED,AI: investment sukuk most often mudarabah/wakala structures; scholar to verify,RECLASSIFIED by detailed review,,Q21,
T137,mixed-asset certificates,composite,C04,,composite,AI_LINKED,AI: mixed sukuk pools typically ijarah-led; scholar to verify,RECLASSIFIED by detailed review,,Q21,
T138,true-sale certificates,composite,C03,,composite,AI_LINKED,AI: true sale = bay'-based transfer; scholar to verify,RECLASSIFIED by detailed review,,Q14,
T139,beneficial-interest certificates,composite,C04,,composite,AI_LINKED,AI: beneficial interest = usufruct family,RECLASSIFIED by detailed review,,Q21,
T140,ESG certificates,composite,C02,,composite,AI_LINKED,AI: structure varies by issue; investment-sukuk umbrella; scholar to verify,RECLASSIFIED by detailed review,,Q21,
T141,special purpose vehicle,composite,C07,,composite,AI_LINKED,AI: SPV acts as issuer/agent-trustee; scholar to verify,RECLASSIFIED by detailed review,,Q17,
T142,restricted mudarabah,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T143,unrestricted mudarabah,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T144,investment agency,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T145,permanent musharakah,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T146,forward lease,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T147,lease then sale,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T148,lease-and-acquire,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T149,currency exchange,principle,C03,,principle,AI_LINKED,AI: bay' al-sarf = a sale type,APPROVED (verifier-1 blanket YES; not named in detailed review),C03,,
T150,spot FX,principle,C03,,principle,AI_LINKED,AI: spot sarf = a sale type,RECLASSIFIED by detailed review,,Q14,
T151,money/currency,principle,,Q14,principle,AI_LINKED,AI: medium of exchange in dealings; scholar to verify,RECLASSIFIED by detailed review,,Q06,
T152,price,principle,C03,,principle,AI_LINKED,AI: thaman = sale element,RECLASSIFIED by detailed review,,Q14,
T153,priced object,principle,C03,,principle,AI_LINKED,AI: mabi' = sale element,RECLASSIFIED by detailed review,,Q14,
T154,received item,principle,C03,,principle,AI_LINKED,AI: qabd in sale; matches T103,RECLASSIFIED by detailed review,,Q14,
T155,price deception,principle,,Q06,principle,AI_LINKED,AI: ghabn = taking wealth wrongfully,APPROVED (named YES by detailed review),,Q06,
T156,fraud/misrepresentation,principle,,Q06,principle,AI_LINKED,AI: tadlis = taking wealth wrongfully,APPROVED (named YES by detailed review),,Q06,
T157,price manipulation,principle,,Q06,principle,AI_LINKED,AI: najash = taking wealth wrongfully,APPROVED (named YES by detailed review),,Q06,
T158,hoarding/monopoly,principle,,Q03,principle,AI_LINKED,AI: ihtikar; hoarding family,APPROVED (named YES by detailed review),,Q03,
T159,intercepting sellers,principle,,Q06,principle,AI_LINKED,AI: talaqqi al-rukban = unfair taking,APPROVED (named YES by detailed review),,Q06,
T160,two sales in one,principle,C03,,principle,AI_LINKED,AI: bay'atayn fi bay'ah = sale prohibition,RESOLVED by Adam (2026-07-25),,Q23,Adam: Q23 gharar
T161,two deals in one,principle,C03,,principle,AI_LINKED,AI: safqatayn fi safqah = sale prohibition,RESOLVED by Adam (2026-07-25),,Q23,Adam: Q23 gharar
T162,organized inah,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T163,organized tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T164,classical tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T165,banking tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T166,negotiated sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T167,barter,principle,C03,,principle,AI_LINKED,AI: muqayadah = goods-for-goods sale,RECLASSIFIED by detailed review,,Q14,
T168,agency for fee,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T169,guarantee for fee,C08,C08,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C08,,
T170,commercial pledge,C09,C09,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C09,,
T171,Islamic pawnbroking,C09,C09,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C09,,
T172,benevolent loan fund,C10,C10,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C10,,
T173,at-cost resale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T174,at-discount sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T175,murabaha to purchase orderer,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T176,earnest margin,composite,C03,,composite,AI_LINKED,AI: hamish jiddiyyah held at murabaha promise stage; matches T018,RECLASSIFIED by detailed review,,Q17,
T177,option premium analog,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T178,binding promise,principle,C03,,principle,AI_LINKED,AI: promise family as T029; scholar to verify,RECLASSIFIED by detailed review,,Q14,
T179,reciprocal promises,principle,C03,,principle,AI_LINKED,AI: promise family as T030; scholar to verify,RECLASSIFIED by detailed review,,Q14,
T180,Islamic profit-rate swap,composite,C03,,composite,AI_LINKED,AI: built from tawarruq legs,RECLASSIFIED by detailed review,,Q20,via T070 urf
T181,master hedging agreement,composite,C03,,composite,AI_LINKED,AI: documentation for tawarruq-based hedges,RECLASSIFIED by detailed review,,Q20,via T070 urf
T182,charitable waqf,principle,,Q24,principle,AI_LINKED,AI: waqf khayri; waqf family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q24,
T183,family waqf,principle,,Q24,principle,AI_LINKED,AI: waqf ahli; waqf family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q24,
T184,cash waqf,principle,,Q24,principle,AI_LINKED,AI: waqf al-nuqud; waqf family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q24,
T185,family takaful,composite,C07,,composite,AI_LINKED,AI: follows takaful home (T011); scholar to verify,APPROVED (named YES by detailed review),C07,,
T186,general takaful,composite,C07,,composite,AI_LINKED,AI: follows takaful home (T011); scholar to verify,APPROVED (named YES by detailed review),C07,,
T187,takaful surplus sharing,composite,C07,,composite,AI_LINKED,AI: follows takaful home (T011); scholar to verify,APPROVED (named YES by detailed review),C07,,
T188,hybrid takaful model,composite,C07,,composite,AI_LINKED,AI: wakala + mudarabah hybrid; agent leg primary; scholar to verify,APPROVED (named YES by detailed review),C07,,
T189,profit-sharing takaful,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T190,income cleansing,principle,,Q07,principle,AI_LINKED,AI: purging illicit gain,APPROVED (named YES by detailed review),,Q07,
T191,equity screening,principle,,Q01,principle,AI_LINKED,AI: screens chiefly target riba income,APPROVED (named YES by detailed review),,Q01,
T192,<=30/33% threshold,principle,,Q15,principle,AI_LINKED,AI: debt-ratio screen; debt family,APPROVED (named YES by detailed review),,Q15,
T193,<=5% threshold,principle,,Q07,principle,AI_LINKED,AI: impure-income ceiling,APPROVED (named YES by detailed review),,Q07,
T194,governance body,principle,,Q17,principle,AI_LINKED,AI: oversight = amanah duty; scholar to verify,APPROVED (named YES by detailed review),,Q17,
T195,compliance audit,principle,,Q17,principle,AI_LINKED,AI: oversight = amanah duty; scholar to verify,APPROVED (named YES by detailed review),,Q17,
T196,governance/risk,principle,,Q17,principle,AI_LINKED,AI: oversight = amanah duty; scholar to verify,RECLASSIFIED by detailed review,,Q17+Q06,
T197,rate-of-return risk,principle,C02,,principle,AI_LINKED,AI: arises on mudarabah investment accounts,RECLASSIFIED by detailed review,,Q21,
T198,PER,principle,C02,,principle,AI_LINKED,AI: smoothing reserve on mudarabah accounts,RECLASSIFIED by detailed review,,Q21,
T199,IRR,principle,C02,,principle,AI_LINKED,AI: risk reserve on mudarabah accounts,RECLASSIFIED by detailed review,,Q21,
T200,deposit return,principle,C02,,principle,AI_LINKED,AI: return on investment accounts; wadi'ah (Q17) alt,RECLASSIFIED by detailed review,,Q21,
T201,interest / usury (umbrella),principle,,Q01,principle,AI_LINKED,AI: riba; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q01,
T202,hoarding of money,principle,,Q03,principle,AI_LINKED,AI: kanz/iktinaz; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q03,
T203,extravagance / squandering,principle,,Q04,principle,AI_LINKED,AI: israf/tabdhir; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q04,
T204,short measure / market fraud,principle,,Q05,principle,AI_LINKED,AI: tatfif; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q05,
T205,wrongful consumption of wealth,principle,,Q06,principle,AI_LINKED,AI: akl al-mal bil-batil; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q06,
T206,illicit gain,principle,,Q07,principle,AI_LINKED,AI: suht; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q07,
T207,spending in good,principle,,Q09,principle,AI_LINKED,AI: sadaqah/infaq; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q09,
T208,inheritance shares,principle,,Q11,principle,AI_LINKED,AI: mirath; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q11,
T209,bequest,principle,,Q11,principle,AI_LINKED,AI: wasiyyah; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q11,
T210,dower,principle,,Q12,principle,AI_LINKED,AI: mahr; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q12,
