term_id,term_english,current_parent_contract,proposed_contract,proposed_qword,qualifier,confidence,note
T029,unilateral promise,principle,C03,,principle,AI_LINKED,"AI: wa'd used in murabaha-to-purchase-orderer; scholar to verify"
T030,bilateral promise,principle,C03,,principle,AI_LINKED,"AI: muwa'adah used in sale/hedge structures; scholar to verify"
T031,hedging,composite,C03,,composite,AI_LINKED,"AI: Islamic hedges commonly built from tawarruq/murabaha legs; scholar to verify"
T032,commodity cost-plus,C03,C03,,,CLEAN,matches enrichment.contract_ids
T033,back-to-back salam,C05,C05,,,CLEAN,matches enrichment.contract_ids
T034,back-to-back istisna,C06,C06,,,CLEAN,matches enrichment.contract_ids
T035,reducing partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T036,bargained sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T037,at-cost sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T038,safe-custody (trust),principle,,Q17,principle,AI_LINKED,"AI: wadi'ah; direct match"
T039,guaranteed safekeeping,composite,,Q17,composite,AI_LINKED,"AI: wadi'ah yad damanah; guarantee side (C08) alt"
T040,manager (mudarabah),C02,C02,,,CLEAN,matches enrichment.contract_ids
T041,capital provider,C02,C02,,,CLEAN,matches enrichment.contract_ids
T042,guarantor,C08,C08,,,CLEAN,matches enrichment.contract_ids
T043,creditor/beneficiary,C08,C08,,,CLEAN,matches enrichment.contract_ids
T044,hired party/lessor,C04,C04,,,CLEAN,matches enrichment.contract_ids
T045,lessee/hirer,C04,C04,,,CLEAN,matches enrichment.contract_ids
T046,trust,principle,,Q17,principle,AI_LINKED,"AI: amanah; direct match"
T047,debt,principle,,Q15,principle,AI_LINKED,"AI: dayn; direct match"
T048,benevolent loan,C10,C10,,,CLEAN,matches enrichment.contract_ids
T049,partnership (generic),C01,C01,,,CLEAN,matches enrichment.contract_ids
T050,unlimited partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T051,limited partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T052,labor partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T053,creditworthiness partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T054,partner,C01,C01,,,CLEAN,matches enrichment.contract_ids
T055,agent,C07,C07,,,CLEAN,matches enrichment.contract_ids
T056,principal,C07,C07,,,CLEAN,matches enrichment.contract_ids
T057,juristic preference,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T058,public interest,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T059,objectives of Sharia,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T060,legal stratagem,principle,,Q14,principle,AI_LINKED,"AI: hiyal = usul method term; parked under trade-dealings umbrella; scholar to verify"
T061,sale with redemption,C03/C09,C09,,,AI_LINKED,"AI: bay' al-wafa works as security for a debt; pledge family; sale-form (C03) alt; scholar to verify"
T062,sharecropping,composite,C01,,composite,AI_LINKED,"AI: muzara'ah = crop partnership; shirkah family"
T063,irrigation partnership,composite,C01,,composite,AI_LINKED,"AI: musaqah = orchard partnership; shirkah family"
T064,tree-planting partnership,composite,C01,,composite,AI_LINKED,"AI: mugharasah = planting partnership; shirkah family"
T065,consensus,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T066,analogy,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T067,independent reasoning,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T068,legal opinion,principle,,Q14,principle,AI_LINKED,"AI: fatwa = usul method term; parked under trade-dealings umbrella; scholar to verify"
T069,commercial custom,principle,,Q14,principle,AI_LINKED,"AI: urf governs trade dealings; scholar to verify"
T070,custom,principle,,Q14,principle,AI_LINKED,"AI: urf/adah governs dealings; scholar to verify"
T071,sale of nonexistent,principle,C03,,principle,AI_LINKED,"AI: sale-validity rule; salam/istisna are the licensed exceptions"
T072,uncertain sale,principle,C03,,principle,AI_LINKED,"AI: sale-validity rule; gharar (Q23) alt"
T073,sale of undeliverable,principle,C03,,principle,AI_LINKED,"AI: sale-validity rule"
T074,compensation,composite,,Q15,composite,AI_LINKED,"AI: ta'widh mostly on late debt payment; scholar to verify"
T075,penalty,composite,C06,,composite,AI_LINKED,"AI: penalty clause recognised in istisna; scholar to verify"
T076,rebate,principle,,Q15,principle,AI_LINKED,"AI: ibra' = waiving part of a debt"
T077,set-off,principle,,Q15,principle,AI_LINKED,"AI: muqassah nets off debts"
T078,amicable settlement,principle,,Q15,principle,AI_LINKED,"AI: sulh most often settles debts; scholar to verify"
T079,donation,principle,,Q09,principle,AI_LINKED,"AI: tabarru' = giving; sadaqah family"
T080,mutual cooperation,principle,,Q09,principle,AI_LINKED,"AI: ta'awun underpins takaful giving"
T081,tribal mutual aid,principle,,Q09,principle,AI_LINKED,"AI: aqilah = mutual-aid precedent for takaful"
T082,pre-Islamic riba,principle,,Q01,principle,AI_LINKED,"AI: riba al-jahiliyyah; riba family"
T083,usurious commodities,principle,,Q01,principle,AI_LINKED,"AI: ribawi items; riba family"
T084,profit,principle,C03,,principle,AI_LINKED,"AI: ribh shares root r-b-h with murabaha (sale at stated profit)"
T085,capital,C02,C02,,,CLEAN,matches enrichment.contract_ids
T086,certificate,principle,,Q15,principle,AI_LINKED,"AI: sakk = written instrument; kitabah (documentation) family; scholar to verify"
T087,usufruct,C04,C04,,,CLEAN,matches enrichment.contract_ids
T088,supply/recurring sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T089,deferred sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T090,indeterminacy,principle,,Q23,principle,AI_LINKED,"AI: jahalah = gharar family"
T091,gambling/wager,principle,,Q02,principle,AI_LINKED,"AI: maysir family"
T092,fungible goods,principle,,Q14,principle,AI_LINKED,"AI: mithli = sale-object class"
T093,non-fungible goods,principle,,Q14,principle,AI_LINKED,"AI: qimi = sale-object class"
T094,offer,principle,,Q14,principle,AI_LINKED,"AI: ijab = contract formation in dealings"
T095,acceptance,principle,,Q14,principle,AI_LINKED,"AI: qabul = contract formation in dealings"
T096,option of session,C03,C03,,,CLEAN,matches enrichment.contract_ids
T097,option of condition,C03,C03,,,CLEAN,matches enrichment.contract_ids
T098,option of defect,C03,C03,,,CLEAN,matches enrichment.contract_ids
T099,option of inspection,C03,C03,,,CLEAN,matches enrichment.contract_ids
T100,sharecropping (tenant-seed),composite,C01,,composite,AI_LINKED,"AI: mukhabarah = crop partnership variant"
T101,wealth,principle,,Q14,principle,AI_LINKED,"AI: mal = object of all dealings; scholar to verify"
T102,ownership,principle,,Q14,principle,AI_LINKED,"AI: milk transfer is the aim of sale; scholar to verify"
T103,possession/constructive receipt,C03,C03,,,CLEAN,matches enrichment.contract_ids
T104,legal liability,principle,,Q15,principle,AI_LINKED,"AI: dhimmah is where debt attaches"
T105,liability/guarantee,C08,C08,,,CLEAN,matches enrichment.contract_ids
T106,entitlement-with-liability maxim,principle,C08,,principle,AI_LINKED,"AI: al-kharaj bi-l-daman; daman = guarantee root"
T107,gain-accompanies-risk maxim,principle,,Q21,principle,AI_LINKED,"AI: al-ghunm bi-l-ghurm underpins partnership risk-sharing"
T108,blocking the means,principle,,Q14,principle,AI_LINKED,"AI: usul method term; parked under trade-dealings umbrella; scholar to verify"
T109,benefit,principle,C04,,principle,AI_LINKED,"AI: manfa'ah is the subject of ijarah; matches T087 usufruct"
T110,harm,principle,,Q14,principle,AI_LINKED,"AI: la-darar maxim governs dealings; scholar to verify"
T111,necessity,principle,,Q14,principle,AI_LINKED,"AI: darurah = usul method term; scholar to verify"
T112,widespread affliction,principle,,Q14,principle,AI_LINKED,"AI: umum al-balwa = usul method term; scholar to verify"
T113,combining madhhab opinions,principle,,Q14,principle,AI_LINKED,"AI: talfiq = usul method term; scholar to verify"
T114,selection of opinion,principle,,Q14,principle,AI_LINKED,"AI: takhayyur = usul method term; scholar to verify"
T115,transactional jurisprudence,principle,,Q14,principle,AI_LINKED,"AI: fiqh al-mu'amalat = trade-dealings umbrella itself"
T116,alms-tax,principle,,Q08,principle,AI_LINKED,"AI: zakat; direct match"
T117,tithe,principle,,Q08,principle,AI_LINKED,"AI: ushr = agricultural zakat"
T118,voluntary charity,principle,,Q09,principle,AI_LINKED,"AI: sadaqah; direct match"
T119,zakat threshold,principle,,Q08,principle,AI_LINKED,"AI: nisab; zakat family"
T120,zakat lunar year,principle,,Q08,principle,AI_LINKED,"AI: hawl; zakat family"
T121,success/welfare,principle,,Q09,principle,AI_LINKED,"AI: falah tied to giving in the Qur'an; scholar to verify"
T122,justice,principle,,Q05,principle,AI_LINKED,"AI: Qur'anic market justice = full weights and measures; scholar to verify"
T123,excellence/benevolence,principle,,Q09,principle,AI_LINKED,"AI: ihsan in giving; scholar to verify"
T124,fiduciary trust,principle,,Q17,principle,AI_LINKED,"AI: yad amanah; trust family"
T125,permissible,principle,,Q14,principle,AI_LINKED,"AI: ruling grade applied to dealings; scholar to verify"
T126,prohibited,principle,,Q14,principle,AI_LINKED,"AI: ruling grade applied to dealings; scholar to verify"
T127,disliked,principle,,Q14,principle,AI_LINKED,"AI: ruling grade applied to dealings; scholar to verify"
T128,neutral,principle,,Q14,principle,AI_LINKED,"AI: ruling grade applied to dealings; scholar to verify"
T129,doubtful,principle,,Q14,principle,AI_LINKED,"AI: ruling grade applied to dealings; scholar to verify"
T130,defective contract,principle,,Q14,principle,AI_LINKED,"AI: contract validity grade; scholar to verify"
T131,void contract,principle,,Q14,principle,AI_LINKED,"AI: contract validity grade; scholar to verify"
T132,valid contract,principle,,Q14,principle,AI_LINKED,"AI: contract validity grade; scholar to verify"
T133,salam certificates,C05,C05,,,CLEAN,matches enrichment.contract_ids
T134,istisna certificates,C06,C06,,,CLEAN,matches enrichment.contract_ids
T135,murabaha certificates,C03,C03,,,CLEAN,matches enrichment.contract_ids
T136,investment certificates,composite,C02,,composite,AI_LINKED,"AI: investment sukuk most often mudarabah/wakala structures; scholar to verify"
T137,mixed-asset certificates,composite,C04,,composite,AI_LINKED,"AI: mixed sukuk pools typically ijarah-led; scholar to verify"
T138,true-sale certificates,composite,C03,,composite,AI_LINKED,"AI: true sale = bay'-based transfer; scholar to verify"
T139,beneficial-interest certificates,composite,C04,,composite,AI_LINKED,"AI: beneficial interest = usufruct family"
T140,ESG certificates,composite,C02,,composite,AI_LINKED,"AI: structure varies by issue; investment-sukuk umbrella; scholar to verify"
T141,special purpose vehicle,composite,C07,,composite,AI_LINKED,"AI: SPV acts as issuer/agent-trustee; scholar to verify"
T142,restricted mudarabah,C02,C02,,,CLEAN,matches enrichment.contract_ids
T143,unrestricted mudarabah,C02,C02,,,CLEAN,matches enrichment.contract_ids
T144,investment agency,C07,C07,,,CLEAN,matches enrichment.contract_ids
T145,permanent musharakah,C01,C01,,,CLEAN,matches enrichment.contract_ids
T146,forward lease,C04,C04,,,CLEAN,matches enrichment.contract_ids
T147,lease then sale,C04,C04,,,CLEAN,matches enrichment.contract_ids
T148,lease-and-acquire,C04,C04,,,CLEAN,matches enrichment.contract_ids
T149,currency exchange,principle,C03,,principle,AI_LINKED,"AI: bay' al-sarf = a sale type"
T150,spot FX,principle,C03,,principle,AI_LINKED,"AI: spot sarf = a sale type"
T151,money/currency,principle,,Q14,principle,AI_LINKED,"AI: medium of exchange in dealings; scholar to verify"
T152,price,principle,C03,,principle,AI_LINKED,"AI: thaman = sale element"
T153,priced object,principle,C03,,principle,AI_LINKED,"AI: mabi' = sale element"
T154,received item,principle,C03,,principle,AI_LINKED,"AI: qabd in sale; matches T103"
T155,price deception,principle,,Q06,principle,AI_LINKED,"AI: ghabn = taking wealth wrongfully"
T156,fraud/misrepresentation,principle,,Q06,principle,AI_LINKED,"AI: tadlis = taking wealth wrongfully"
T157,price manipulation,principle,,Q06,principle,AI_LINKED,"AI: najash = taking wealth wrongfully"
T158,hoarding/monopoly,principle,,Q03,principle,AI_LINKED,"AI: ihtikar; hoarding family"
T159,intercepting sellers,principle,,Q06,principle,AI_LINKED,"AI: talaqqi al-rukban = unfair taking"
T160,two sales in one,principle,C03,,principle,AI_LINKED,"AI: bay'atayn fi bay'ah = sale prohibition"
T161,two deals in one,principle,C03,,principle,AI_LINKED,"AI: safqatayn fi safqah = sale prohibition"
T162,organized inah,C03,C03,,,CLEAN,matches enrichment.contract_ids
T163,organized tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids
T164,classical tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids
T165,banking tawarruq,C03,C03,,,CLEAN,matches enrichment.contract_ids
T166,negotiated sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T167,barter,principle,C03,,principle,AI_LINKED,"AI: muqayadah = goods-for-goods sale"
T168,agency for fee,C07,C07,,,CLEAN,matches enrichment.contract_ids
T169,guarantee for fee,C08,C08,,,CLEAN,matches enrichment.contract_ids
T170,commercial pledge,C09,C09,,,CLEAN,matches enrichment.contract_ids
T171,Islamic pawnbroking,C09,C09,,,CLEAN,matches enrichment.contract_ids
T172,benevolent loan fund,C10,C10,,,CLEAN,matches enrichment.contract_ids
T173,at-cost resale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T174,at-discount sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T175,murabaha to purchase orderer,C03,C03,,,CLEAN,matches enrichment.contract_ids
T176,earnest margin,composite,C03,,composite,AI_LINKED,"AI: hamish jiddiyyah held at murabaha promise stage; matches T018"
T177,option premium analog,C03,C03,,,CLEAN,matches enrichment.contract_ids
T178,binding promise,principle,C03,,principle,AI_LINKED,"AI: promise family as T029; scholar to verify"
T179,reciprocal promises,principle,C03,,principle,AI_LINKED,"AI: promise family as T030; scholar to verify"
T180,Islamic profit-rate swap,composite,C03,,composite,AI_LINKED,"AI: built from tawarruq legs"
T181,master hedging agreement,composite,C03,,composite,AI_LINKED,"AI: documentation for tawarruq-based hedges"
T182,charitable waqf,principle,,Q24,principle,AI_LINKED,"AI: waqf khayri; waqf family"
T183,family waqf,principle,,Q24,principle,AI_LINKED,"AI: waqf ahli; waqf family"
T184,cash waqf,principle,,Q24,principle,AI_LINKED,"AI: waqf al-nuqud; waqf family"
T185,family takaful,composite,C07,,composite,AI_LINKED,"AI: follows takaful home (T011); scholar to verify"
T186,general takaful,composite,C07,,composite,AI_LINKED,"AI: follows takaful home (T011); scholar to verify"
T187,takaful surplus sharing,composite,C07,,composite,AI_LINKED,"AI: follows takaful home (T011); scholar to verify"
T188,hybrid takaful model,composite,C07,,composite,AI_LINKED,"AI: wakala + mudarabah hybrid; agent leg primary; scholar to verify"
T189,profit-sharing takaful,C02,C02,,,CLEAN,matches enrichment.contract_ids
T190,income cleansing,principle,,Q07,principle,AI_LINKED,"AI: purging illicit gain"
T191,equity screening,principle,,Q01,principle,AI_LINKED,"AI: screens chiefly target riba income"
T192,<=30/33% threshold,principle,,Q15,principle,AI_LINKED,"AI: debt-ratio screen; debt family"
T193,<=5% threshold,principle,,Q07,principle,AI_LINKED,"AI: impure-income ceiling"
T194,governance body,principle,,Q17,principle,AI_LINKED,"AI: oversight = amanah duty; scholar to verify"
T195,compliance audit,principle,,Q17,principle,AI_LINKED,"AI: oversight = amanah duty; scholar to verify"
T196,governance/risk,principle,,Q17,principle,AI_LINKED,"AI: oversight = amanah duty; scholar to verify"
T197,rate-of-return risk,principle,C02,,principle,AI_LINKED,"AI: arises on mudarabah investment accounts"
T198,PER,principle,C02,,principle,AI_LINKED,"AI: smoothing reserve on mudarabah accounts"
T199,IRR,principle,C02,,principle,AI_LINKED,"AI: risk reserve on mudarabah accounts"
T200,deposit return,principle,C02,,principle,AI_LINKED,"AI: return on investment accounts; wadi'ah (Q17) alt"
T201,interest / usury (umbrella),principle,,Q01,principle,AI_LINKED,"AI: riba; direct match"
T202,hoarding of money,principle,,Q03,principle,AI_LINKED,"AI: kanz/iktinaz; direct match"
T203,extravagance / squandering,principle,,Q04,principle,AI_LINKED,"AI: israf/tabdhir; direct match"
T204,short measure / market fraud,principle,,Q05,principle,AI_LINKED,"AI: tatfif; direct match"
T205,wrongful consumption of wealth,principle,,Q06,principle,AI_LINKED,"AI: akl al-mal bil-batil; direct match"
T206,illicit gain,principle,,Q07,principle,AI_LINKED,"AI: suht; direct match"
T207,spending in good,principle,,Q09,principle,AI_LINKED,"AI: sadaqah/infaq; direct match"
T208,inheritance shares,principle,,Q11,principle,AI_LINKED,"AI: mirath; direct match"
T209,bequest,principle,,Q11,principle,AI_LINKED,"AI: wasiyyah; direct match"
T210,dower,principle,,Q12,principle,AI_LINKED,"AI: mahr; direct match"
T211,managing another's wealth,principle,,Q13,principle,AI_LINKED,"AI: guardianship of others' property; orphans'-property family; agency (C07) alt"
T212,trade (umbrella),principle,,Q14,principle,AI_LINKED,"AI: bay'/tijarah; direct match"
T213,debt documentation duty,principle,,Q15,principle,AI_LINKED,"AI: dayn + kitabah; direct match"
T214,Qur'anic public finance,principle,,Q22,principle,AI_LINKED,"AI: jizyah/ghanimah/fay'; direct match"
